"id";"balancing quality"
1;"1.78"
2;"14.69"
3;"3.15"
4;"4.15"
5;"6.60"
6;"15.31"
7;"5.40"
8;"6.80"
9;"7.27"
10;"3.12"
11;"5.90"
12;"10.44"
13;"7.96"
14;"9.98"
15;"2.63"
16;"4.75"
17;"1.82"
18;"7.53"
19;"6.88"
20;"3.94"
21;"10.23"
22;"7.51"
23;"16.32"
24;"1.98"
25;"5.82"
26;"2.89"
27;"4.55"
28;"10.54"
29;"2.69"
30;"5.11"
31;"4.75"
32;"5.57"
33;"5.09"
34;"3.96"
35;"9.61"
36;"2.56"
37;"16.23"
38;"5.44"
39;"7.95"
40;"2.14"
41;"5.88"
42;"12.81"
43;"10.65"
44;"6.79"
45;"6.06"
46;"9.02"
47;"14.93"
48;"6.02"
49;"6.32"
50;"8.90"
51;"4.77"
52;"9.48"
53;"9.69"
54;"5.91"
55;"2.81"
56;"4.36"
57;"5.07"
58;"19.91"
59;"6.57"
60;"2.77"
61;"5.30"
62;"7.36"
63;"5.86"
64;"18.74"
65;"2.32"
66;"6.74"
67;"2.76"
68;"12.88"
69;"6.31"
70;"2.66"
71;"18.46"
72;"3.31"
73;"8.96"
74;"7.02"
75;"9.50"
76;"10.18"
77;"11.79"
78;"5.06"
79;"493.44"
80;"9.10"
81;"6.53"
82;"3.78"
83;"5.51"
84;"12.26"
85;"6.53"
86;"7.95"
87;"8.86"
88;"9.77"
89;"18.44"
90;"11.43"
91;"12.01"
92;"3.73"
93;"473.35"
94;"2.88"
95;"7.34"
96;"7.72"
97;"4.27"
98;"6.89"
99;"10.50"
100;"3.48"
101;"5.65"
102;"9.17"
103;"4.02"
104;"2.52"
105;"5.82"
106;"11.46"
107;"7.76"
108;"7.79"
109;"6.30"
110;"8.10"
111;"10.03"
112;"5.75"
113;"7.12"
114;"2.50"
115;"2.51"
116;"4.05"
117;"4.50"
118;"2.34"
119;"3.38"
120;"1.96"
121;"12.46"
122;"3.84"
123;"4.31"
124;"3.96"
125;"5.00"
126;"10.71"
127;"11.24"
128;"8.09"
129;"2.81"
130;"7.67"
131;"5.05"
132;"6.09"
133;"14.75"
134;"6.52"
135;"8.79"
136;"2.91"
137;"9.01"
138;"8.71"
139;"2.20"
140;"3.95"
141;"5.79"
142;"1.85"
143;"9.28"
144;"2.65"
145;"5.57"
146;"4.63"
147;"6.18"
148;"3.18"
149;"2.62"
150;"5.80"
151;"2.96"
152;"4.64"
153;"4.29"
154;"11.92"
155;"6.06"
156;"4.72"
157;"6.50"
158;"7.02"
159;"12.02"
160;"27.00"
161;"4.77"
162;"4.81"
163;"493.28"
164;"4.41"
165;"9.60"
166;"5.76"
167;"4.24"
168;"3.66"
169;"7.49"
170;"5.74"
171;"2.90"
172;"6.94"
173;"5.00"
